Date|Time|Lat|Lng|Weather|Nautical_Twilight
1/2/19|1:31:32 PM|35.79139951|-78.84721909|CLEAR|DAYLIGHT
1/3/19|7:42:27 AM|35.66910488|-78.94941506|RAIN|DAYLIGHT
1/17/19|11:08 AM|35.79011263|-78.87281082|CLEAR|DAYLIGHT
1/17/19|12:55 AM|35.75498809|-78.80849664|CLEAR|DARK - LIGHTED ROADWAY
1/23/19|8:56:18 AM|35.80689066|-78.90976411|CLEAR|DAYLIGHT
1/25/19|2:41:10 PM|35.76635376|-78.73572499|CLEAR|DAYLIGHT
1/29/19|11:25 AM|35.82896533|-78.89481925|CLEAR|DAYLIGHT
1/30/19|10:13 AM|35.74232698|-78.81424996|CLEAR|DAYLIGHT
2/14/19|11:16 AM|35.77603007|-78.83381216|CLEAR|DAYLIGHT
2/18/19|9:27:03 AM|35.75956508|-78.74137444|CLOUDY|DAYLIGHT
2/20/19|7:01:35 AM|35.77315445|-78.61056528|RAIN|DAYLIGHT
2/20/19|7:21:19 AM|35.81369544|-78.87132089|RAIN|DAYLIGHT
2/21/19|10:56 AM|35.78986305|-78.87060937|RAIN|DAYLIGHT
2/27/19|5:14:25 PM|35.75956508|-78.74137444|CLEAR|DAYLIGHT
3/2/19|1:12:01 PM|35.82749938|-78.88339317|CLEAR|DAYLIGHT
10/25/19|10:58 PM|35.82939659|-78.77266668|CLEAR|DARK - LIGHTED ROADWAY
11/9/19|10:24 PM|35.75675155|-78.76982596|CLEAR|DARK - ROADWAY NOT LIGHTED
11/11/19|6:49:00 PM|35.77517460000001|-78.78420049|CLEAR|DARK - LIGHTED ROADWAY
11/14/19|5:43:53 PM|35.82063744|-78.77854164|CLEAR|DARK - LIGHTED ROADWAY
11/18/19|12:20 PM|35.79295009|-78.87057115|CLOUDY|DAYLIGHT
11/22/19|6:20:59 PM|35.75954137|-78.74137283|CLEAR|DARK - LIGHTED ROADWAY
11/26/19|6:37:39 PM|35.88556964|-78.99451589|CLEAR|DARK - LIGHTED ROADWAY
11/26/19|9:08:44 PM|35.79184763|-79.08235570000001|CLEAR|DARK - LIGHTED ROADWAY
11/27/19|2:49:56 PM|35.833342|-78.91239393|CLOUDY|DAYLIGHT
12/3/19|12:57 PM|35.78487334|-78.86116107|CLEAR|DAYLIGHT
12/3/19|7:14:03 PM|35.71858349|-78.77327389|CLEAR|DAYLIGHT
12/6/19|5:58:32 PM|35.71778771|-78.76598334|RAIN|DARK - LIGHTED ROADWAY
12/9/19|10:48 PM|35.78307574|-78.78335968|CLEAR|DAYLIGHT
12/10/19|5:45:30 PM|35.76635379|-78.73572499|RAIN|DARK - ROADWAY NOT LIGHTED
12/10/19|2:50:25 PM|35.73957007|-78.80504957|CLEAR|DAYLIGHT
12/15/19|8:28:25 AM|35.76734182|-78.7466563|CLEAR|DAYLIGHT
12/15/19|4:33:55 PM|35.75776395|-78.73637239|CLEAR|DAYLIGHT
12/16/19|7:03:47 AM|35.73890325|-78.75484878|CLEAR|DAWN
12/16/19|9:59:55 AM|35.74994071|-78.74523294|CLEAR|DAYLIGHT
12/16/19|10:34 AM|35.77846832|-78.87242540000001|CLEAR|DAYLIGHT
12/19/19|11:12 AM|35.75517218|-78.73756005|CLEAR|DAYLIGHT
12/20/19|3:36:34 PM|35.83476967|-78.87211391|CLEAR|DAYLIGHT
12/18/19|11:40 AM|35.7940721|-78.76766824|CLEAR|DAYLIGHT
12/21/19|8:20:16 PM|35.7404559|-78.7760054|CLEAR|DARK - LIGHTED ROADWAY
